CountryCodes,Country,Continent,Latitude,Longitude,Region Code,Language,CountryCurrency
FJI,Fiji,Oceania,-19.0190607,195.3435043,9,English,FJD
FIN,Finland,Europe,64.52173893,26.29452799,150,Others,EUR
FRA,France,Europe,46.6984015,2.350055968,150,French,EUR
GUF,French Guiana,Americas,3.928100844,-53.24266781,19,Others,EUR
PYF,French Polynesia,Oceania,-24.06211632,-156.7187297,9,Others,XPF
ATF,French Southern Territories,Africa,-49.32257975,69.49884805,2,Others,EUR
GAB,Gabon,Africa,-0.595400581,11.79997877,2,French,XAF
GMB,Gambia,Africa,13.44470328,-15.44718402,2,English,GMD
GEO,Georgia,Asia,42.17290221,43.5117089,142,Others,GEL
DEU,Germany,Europe,51.08227882,10.37515859,150,German,EUR
GHA,Ghana,Africa,7.956118608,-1.209564758,2,English,GHS
GIB,Gibraltar,Europe,36.13872267,-5.34508156,150,Others,GIP
GRC,Greece,Europe,39.99547189,22.15714659,150,Others,EUR
GRL,Greenland,Americas,74.714673,-41.37858526,19,Others,DKK
GRD,Grenada,Americas,12.11295969,-61.67937955,19,English,XCD
GLP,Guadeloupe,Americas,16.40393131,-61.75296289,19,Others,EUR
GUM,Guam,Oceania,13.47185432,144.784677,9,Others,USD
GTM,Guatemala,Americas,15.699081,-90.35850945,19,Spanish,GTQ
GGY,Guernsey,Europe,2.5895,49.4482,150,Others,GBP
GIN,Guinea,Africa,10.43642262,-10.95068301,2,French,GNF
GNB,Guinea-Bissau,Africa,12.05479161,-14.94108332,2,Portuguese,XOF
